         268633237 function calls (250394749 primitive calls) in 2069.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    1.869    0.078 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editor\base.py:723(blink_window)
      238    0.003    0.000    1.791    0.008 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\type.py:49(_autoclose)
      332    0.084    0.000    1.781    0.005 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:393(_load_rim)
      162    0.002    0.000    1.754    0.011 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\gff_auto.py:66(read_gff)
    40329    0.339    0.000    1.709    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\widgets\combobox.py:91(sizeHint)
   491521    0.943    0.000    1.688    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\stream.py:464(read_uint32)
       98    0.091    0.001    1.684    0.017 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:343(_load_erf)
      162    0.003    0.000    1.683    0.010 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:62(load)
        1    0.000    0.000    1.664    1.664 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1645(refresh_saves_list)
    82381    0.046    0.000    1.596    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:120(__hash__)
       28    0.027    0.001    1.574    0.056 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1881(<lambda>)
50138/9510    0.196    0.000    1.536    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:135(_load_field)
   613929    0.989    0.000    1.535    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:117(__init__)
13340/162    0.084    0.000    1.530    0.009 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:107(_load_struct)
   758783    0.617    0.000    1.468    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\type.py:432(__eq__)
       26    0.080    0.003    1.455    0.056 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\chitin.py:76(read_bif)
        4    0.000    0.000    1.412    0.353 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:232(on_section_changed)
   108650    0.398    0.000    1.393    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
     3275    0.194    0.000    1.339    0.000 {built-in method _winapi.WriteFile}
        2    0.000    0.000    1.328    0.664 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:370(load_resources_dict)
   266663    0.467    0.000    1.328    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:498(__init__)
        1    0.000    0.000    1.305    1.305 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1062(prepare_task)
        1    0.000    0.000    1.305    1.305 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1636(_get_texture_pack_list)
        3    0.000    0.000    1.305    0.435 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:306(_texturepacks)
        1    0.000    0.000    1.305    1.305 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1005(texturepacks_list)
        1    0.000    0.000    1.305    1.305 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:312(_load_texturepacks)
    91804    0.301    0.000    1.292    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:409(filterAcceptsRow)
  3232778    1.291    0.000    1.291    0.000 {built-in method sys.intern}
330552/292222    0.152    0.000    1.263    0.000 {built-in method builtins.hash}
   413641    0.416    0.000    1.250    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:277(_raw_path)
     1772    0.010    0.000    1.236    0.001 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\itemviews\html_delegate.py:248(handleIconTooltips)
        1    0.000    0.000    1.205    1.205 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:225(_load_override)
  1643960    0.651    0.000    1.144    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:449(lower_resname)
        1    0.003    0.003    1.143    1.143 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\jrl.py:129(load)
    82444    0.102    0.000    1.120    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:186(__hash__)
 2418/483    0.039    0.000    1.077    0.002 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:215(_load_list)
   207081    0.796    0.000    1.059    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:409(__post_init__)
    40329    1.048    0.000    1.048    0.000 {function ButtonDelegate.sizeHint at 0x00000261B19190D0}
    48837    0.100    0.000    1.021    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:174(_str_normcase)
        9    0.001    0.000    1.019    0.113 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:683(is_save_corrupted)
   111926    0.991    0.000    1.015    0.000 {built-in method _winapi.ReadFile}
   140786    0.140    0.000    1.013    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:227(__str__)
    653/4    0.408    0.001    0.999    0.250 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:409(load_resources_list)
   125398    0.191    0.000    0.994    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_abc.py:130(with_segments)
     4634    0.199    0.000    0.983    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\ui_libraries\qt\widgets\itemviews\html_delegate.py:135(_get_icon)
      809    0.004    0.000    0.955    0.001 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1892(string)
        1    0.001    0.001    0.931    0.931 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:728(on_savepath_changed)
    29057    0.201    0.000    0.896    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\glob.py:480(select_recursive_step)
    99229    0.296    0.000    0.876    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\stream.py:725(read_string)
    29218    0.589    0.000    0.857    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\common\widgets\progressbar.py:23(update_animation)
      809    0.009    0.000    0.845    0.001 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1913(strings)
      2/1    0.000    0.000    0.839    0.839 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\threading.py:1000(_bootstrap)
     1559    0.018    0.000    0.837    0.001 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\stream.py:101(__exit__)
    40619    0.105    0.000    0.833    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:289(drive)
    13907    0.786    0.000    0.833    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.830    0.830 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:272(<lambda>)
  2638894    0.826    0.000    0.826    0.000 {method 'lower' of 'str' objects}
        9    0.005    0.001    0.819    0.091 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:705(_check_save_corruption_lightweight)
   689235    0.731    0.000    0.731    0.000 {built-in method visualRect}
    54403    0.046    0.000    0.707    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:252(_from_parsed_string)
   124594    0.438    0.000    0.687    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\ntpath.py:99(join)
     9680    0.108    0.000    0.680    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:314(can_exit)
        1    0.000    0.000    0.665    0.665 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:281(<lambda>)
  2726986    0.658    0.000    0.658    0.000 {method 'endswith' of 'str' objects}
       12    0.000    0.000    0.621    0.052 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1876(<lambda>)
  1522030    0.476    0.000    0.618    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\enum.py:199(__get__)
    73516    0.039    0.000    0.616    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:148(__truediv__)
       12    0.009    0.001    0.610    0.051 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1878(<lambda>)
  1058301    0.607    0.000    0.607    0.000 {built-in method nt._path_splitroot_ex}
    23165    0.084    0.000    0.593    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\logging\__init__.py:699(format)
